ShoulderDistance,EyeDistance,ShoulderEyeDistance,ShoulderSlope,EyeSlope,WristEyeDistance,posture
355.202759,104,194.0006443,0.033802817,0,-1,0
1071.625401,178,684.1580592,0.055140187,0,-1,0
390.2883549,84,211.9628505,0.038461538,0,-1,0
363.3249235,84,205.4172583,0.085635359,0,-1,0
390.3280671,112,227,0.041025641,0,-1,0
391.3106183,112,235,0.082051282,0,-1,0
391.2301113,112,203.5,0.079487179,0,-1,0
390.3280671,112,227,0.041025641,0,-1,0
391.2301113,112,219.5,0.079487179,0,-1,0
419.223091,113.137085,227.4313083,0.076555024,0.142857143,-1,0
363.3249235,113,211.4639449,0.085635359,0.133928571,-1,0
362.3106402,112,211.9628505,0.041436464,0,-1,0
334.3830139,84,211.4639449,0.047904192,0,-1,0
363.3249235,84,203.5,0.085635359,0,-1,0
363.3249235,113,211.4639449,0.085635359,0.133928571,-1,0
362,112,204.4798279,0,0,-1,0
362,112,204.4798279,0,0,-1,0
362,84,204,0,0,-1,0
362.3106402,84,211.5,0.041436464,0,-1,0
362,84,204,0,0,-1,0
390,112,219,0,0,-1,0
390.2883549,113.137085,203.5,0.038461538,0.142857143,-1,0
390,112,203,0,0,-1,0
390.2883549,112,211.5,0.038461538,0,-1,0
362.3534186,112,196.4993639,0.044198895,0,-1,0
390.2883549,112,211.5,0.038461538,0,-1,0
362.3534186,84,196,0.044198895,0,-1,0
362.3534186,84,196,0.044198895,0,-1,0
362.3534186,84,196,0.044198895,0,-1,0
390.2883549,112,211.5,0.038461538,0,-1,0
390.2883549,112,211.5,0.038461538,0,-1,0
362.3534186,84,196,0.044198895,0,-1,0
390.3280671,112,227,0.041025641,0,-1,0
390.2883549,112,211.5,0.038461538,0,-1,0
419.223091,112,219.4470323,0.076555024,0,-1,0
418.306108,112,211.4639449,0.038277512,0,-1,0
391.2301113,112,219.5,0.079487179,0,-1,0
418.306108,112,227.4313083,0.038277512,0,-1,0
334.3830139,111,196.0006378,0.047904192,0,-1,0
363.3249235,84,203.5,0.085635359,0,-1,0
307.6686529,83,188.0006649,0.104575163,0,-1,0
306.4180151,84,196,0.052287582,0,-1,0
334.3830139,111,196.0006378,0.047904192,0,-1,0
361.3115,83,195.5,0.041551247,0,-1,0
334.3830139,83,180.5830834,0.047904192,0,-1,0
362.3534186,83,196.0006378,0.044198895,0,-1,0
362.3534186,83,196.0006378,0.044198895,0,-1,0
334,83,188.4840842,0,0,-1,0
362.3106402,111,195.9655582,0.041436464,0,-1,0
306.4180151,83,195.000641,0.052287582,0,-1,0
334,111,188.0006649,0,0,-1,0
306.4180151,83,180.0006944,0.052287582,0,-1,0
446.0784684,83,188.0219402,0.069662921,0,-1,0
417.269697,83,164.5,0.035971223,0,-1,0
389,84.52810184,211.4639449,0,0.192771084,-1,0
389.2890957,84.52810184,203.981004,0.038560411,0.192771084,-1,0
389,83,203.482186,0,0,-1,0
389.2890957,83,196.0006378,0.038560411,0,-1,0
389.2890957,83,196.0006378,0.038560411,0,-1,0
389.2890957,83,196.0006378,0.038560411,0,-1,0
389.2890957,83,211.9628505,0.038560411,0,-1,0
389.2890957,83,211.9628505,0.038560411,0,-1,0
389,83,219.4470323,0,0,-1,0
389.2890957,83,196.0006378,0.038560411,0,-1,0
